,Name,Homepage,E-Mail-Adresse,tel,Kontaktperson,,persönlicher Kontakt,Informiert Email,informiert Anruf,Rückmeldung,,
Betriebe etc.,,,,,,,,,,,,
,Niederösterreichische Museum Betriebs GmbH,,lisa.kolb@museumnoe.at,02742 908090 917,Lisa Kolb,,Johanna,25.01,für Mobi Material aufhängen/ auflegen (ham sie letztes Mal auch gemacht,,,
,Niederösterreichische Museum Betriebs GmbH,,katharina.zmeck@museumnoe.at,,Katharina Zmeck,,Johanna,25.01,,,,
,Niederösterreichische Museum Betriebs GmbH,,florian.mueller@museumnoe.at,,Florian Müller,,Johanna,25.01,,,,
,Nikko PV,https://www.nikko-pv.at/,"welcome@nikko-pv.at, lukas.horvath@nikko-pv.at, lukas.kirchmayer@nikko-pv.at, martin.stagl@nikko-pv.at", ,,,Martin,25.01,,,,
,öKlo,https://oeklo.at/,kontakt@oeklo.at,,,,,25.01,,,,
,Ökoenergie Wolkersdorf,,ch.hackel@oekoenergie.com,,Christian Hackel,,Martin,25.01,,,,
,Adamah BioHof,https://www.adamah.at/Kontakt,"gudrun.zoubek@adamah.at, biohof@adamah.at, bio2b@adamah.at",02248 2224,Gerhard Subek,,Flora,25.01,ja (Flora),,,sind auf der klimaprotest.at Seite als Unterstützer angeführt!
,Axl Isenbad,,a.isenbart@kirche.at,,,,,25.01,,,,
,BIO Austria,,niederoesterreich@bio-austria.at,+43 2742 908 33,,,Alina,25.01,ja,,,
,Klimabündnis Niederösterreich,https://niederoesterreich.klimabuendnis.at/,niederoesterreich@klimabuendnis.at,,,,Martin,25.01,,,,
,Klimabündnis Wrn. Neustadt,,friederike.zauner@gmx.net,0680 316 46 82,Friederike Zauner,,Alina,25.01,,,,
,GEA,,gea@gea.at,43 2853 76503 (nicht Heini),Heini Staudinger,,Flora,25.01,ja (Flora),,,
,Leiter Haus der Natur,,ronald.lintner@noel.gv.at,,Ronald Lintner,,,25.01,,,,
,Sonnentor,,"office@sonnentor.at, Lisa.Roithner@sonnentor.at",,,,"erst anfragen, nachdem wir von Johannes Gutmann ZU-/Absage haben",25.01,,,,
,Regionalwert NÖ Wien AG,www.regionalwert-ag.at,info@regionalwert-ag.at,,Fred Schwendinger,,Helena,25.01,,,,
,FC Guad,https://www.fc-guad.at/,fc-guad@outlook.at,,,,,25.01,,,,
,Cinema Paradiso,https://www.cinema-paradiso.at/st-poelten,,0043 2742 34321,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Schülervertretungen / Studies,,,,,,,,,,,,
,Freien Schuldienst NÖ,,,,,,anschreiben!!,,,,,
,Lehrlingsstelle WKÖ,,,,,,anschreiben!!,,,,,
,Lernwerkstatt Pottenbrunn!,,info@lernwerkstatt.at,,Sonja Höllerer,,Flora ,09.02,,,,
,IMA,,,,,,anschreiben!!,,,,,
Foodcoops,,,,,,,,,,,,
,Food Coop Wienerwald,https://foodcoopwienerwald.com/,foodcoop-wienerwald@talenteverbund.at,,,,,25.01,,,,
,Krekoodel,https://www.krekoodel.org/,info@krekoodel.at,,,,,25.01,,,,
,LaFoCo,https://www.lafoco.at/,info@lafoco.at,,,,,25.01,,,,
,,,,,,,,,,,,
Attac-Gruppen (haben sehr viele Adressen!),,,,,,,,,,,,
,Attac Krems,,krems@attac.at,,,,,25.01,,,,
,Attac Mödling Umgebung,,moedling@attac.at,,,,,25.01,,,,
,Attac Mostviertel Erlauftal,,mostviertel-erlauftal@attac.at,,,,,25.01,,,,
,Attac Wr. Neustadt,,wr.neustadt@attac.at,,F Zauner,,Alina,25.01,ja,dabei,,
,Attac NÖ,,"beatrixschwarz@gmx.at, frederike.zauner@attac.at",,,,Martin,16.02,,,,
,Attac St. Pölten,,,,,,,,,,,
Radlobby-Gruppen NÖ,,,,,,,,,,,,
,Radlobby Baden,,baden@radlobby.at,,,,,25.01,,,,
,Radlobby Carnuntum,,carnuntum@radlobby.at,,,,,25.01,,,,
,Radlobby Deutsch-Wagram,,deutsch-wagram@radlobby.at,,,,,25.01,,,,
,Radlobby Ebreichsdorf,,ebreichsdorf@radlobby.at,,,,,25.01,,,,
,Radlobby Eichgraben,,eichgraben@radlobby.at,,,,,25.01,,,,
,Radlobby Enns-Donauwinkel,,enns-donauwinkel@radlobby.at,,,,,25.01,,,,
,Radlobby Gänserndorf,,gaenserndorf@radlobby.at,,,,,25.01,,,,
,Radlobby Gmünd,,gmuend@radlobby.at,,,,,25.01,,,,
,Radlobby Klosterneuburg,,klosterneuburg@radlobby.at,,,,,25.01,,,,
,Radlobby Korneuburg,,korneuburg@radlobby.at,,,,,25.01,,,,
